,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Software Developer,$52K-$94K (Glassdoor est.),"We're looking for a Software Developer to join our team! If the description below describes you, and you're passionate about software development, teamwork and continuous learning, then consider applying for this position! We are looking for both local candidates and also remote candidates.

What You'll Do:

The Software Developer will:
Work within a cross-functional project team to develop Interactive Response Technology (IRT) for randomization and drug supply management
Review user requirements specifications, verifying that all requirements can be implemented with the Suvoda software in the required timeframe
Assist with the creation of implementation design and technical design documentation
Develop software systems that are reliable, maintainable, and efficient, with emphasis on patient safety and integrity of clinical study data
Manage the deployment of Suvoda IRT systems into all environments, completing all required documentation
Assist the support team with troubleshooting and resolution of issues reported on production systems
Participate in the product research and development process by providing the engineering team with new solutions and ideas based on project experience
Generate ideas for innovative technological solutions to increase the quality of Suvoda systems
Perform other related duties as required
Who You Are:

You have:
A Bachelor's degree
Prior working experience with C#, .NET, and SQL Server (3-5 years desired)
Familiarity with Web-Services, Enterprise Service Bus, Model View Controller (MVC) and Entity
Experience with Framework (EF) a plus
A high achieving personality
Desire to learn and grow
Strong work ethic
Sense of ownership
A proactive attitude
Time management and organizational skills
Attention to detail
Who We Are:

Suvoda is a group of exceptionally bright, passionate and curious employees working together to solve complex challenges for our clients using our best-of-breed IRT system. It's really as simple as that. We are the trusted technology partner that enables health sciences organizations (like pharma companies and biotech firms) to execute their clinical trials while remaining focused on what's most important, their patients. Headquartered in the greater Philadelphia area, with offices in Bucharest, Barcelona and Portland, OR, we've experienced impressive year-over-year growth and are growing our teams across the globe. Learn more about us on our website!

What You'll Get:

In addition to working with a group of super-smart colleagues who work as hard as they play, you'll get:
Competitive Compensation
Medical, Dental and Vision coverage (on your first day!)
401(k) with company match
30+ days of PTO (plus sick time and professional flexibility)
Paid parental leave
Training and professional development
Company-sponsored events",3.6,"Suvoda
3.6","Portland, OR","Conshohocken, PA",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
1,Software Developer,$52K-$94K (Glassdoor est.),"Cinder is looking for a *Software Engineer* to fill a role for our client in *Hillsboro, OR*. This is a *full time, 40 hour per week o*pportunity with a full benefits package that includes PTO!
Responsibilities include but are not limited to: *
Developing new telemetry application features within Microsoft WCOS operating system
Contributing to feature design and development alongside engineers and validation team members
Researching and investigating driven through experiments, then evolving into product development by engineers
Validating for quality, security, and compatibility with Microsoft WCOS OS
Required Skills: *
3+ years of experience with Windows system developer
Experience with C and C++
Experience debugging and writing software for Windows internals (kernel, etc.)
Hands on experience with new Microsoft WCOS/Win10x operating system
Experience with driver development and installer package development
Work Environment: *
Must work onsite in Hillsboro, OR.
Shift: Normal work hours
Pay Rate: $35-38/hour depending on experience
If you are looking for a professional, challenging, stimulating environment and meet the above criteria, please apply now!!
Candidate must thrive in a diverse environment and commit to maintaining an inclusive work environment for coworkers of all races, genders, orientations, and abilities. We believe that different life experiences and perspectives are what make the strongest teams. While we are happy to provide any available training or guidance to help sharpen your skills, your success with Cinder requires the ability to work well with a variety of people.
We are unable to sponsor at this time. No third-party candidates considered for this position.

Job Type: Full-time

Pay: $35.00 - $38.00 per hour

Schedule:
Monday to Friday
Experience:
C/C++: 1 year (Preferred)
Location:
Hillsboro, OR (Preferred)
Work authorization:
United States (Preferred)
Work Remotely:
No",3.4,"Cinder Staffing
3.4","Hillsboro, OR","Beaverton, OR",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),-1
2,App Developer,$52K-$94K (Glassdoor est.),"Essential Functions:

§ Responsible for the development and maintenance of all systems including but not limited to:

Corporate website currently based on ASP, ASP.NET(C#), MVC/MS SQL Server

Mobile apps, iOS (Swift and XCode) and Android (Java and Android Studio)

§ Development of additional internal application development projects as directed

§ Provide regular reports to manager as directed regarding assigned projects

§ Act as a strong and consistent contributor to the Application Development team

§ Keep abreast of applicable industry software developments

§ Participate in development planning and prioritization activities

§ Assist the QA department to perform QA developer roles and responsibilities

This position offers working from home with the exception of one day a week working in the coporate office. We are a close knit team who enjoys working for our company who offers us great benefits -including employer paid medical and an amazing 401K match. Our average tenure for employees is 8 years which means we are doing something right!",3.9,"Regional Multiple Listing Service
3.9","Portland, OR","Portland, OR",1 to 50 employees,-1,Company - Private,Internet,Information Technology,$1 to $5 million (USD),-1
3,Lead Software Engineer,$52K-$94K (Glassdoor est.),"Why Smarsh?
Our motto is ‘People First. Inspire Confidence. Embrace the Impossible.’ We hire lifelong learners who have a passion for their discipline and a track record of excellence. To learn more about us, visit www.smarsh.com In our space, Gartner has placed us a leader for 4 consecutive years. We are the right size for effective software engineering, not too small and not too big. Your contributions will be noticed, you will matter, and you will be part of a team that wants to succeed.
From day one, Smarsh was built on a set of core values that have motivated and sustained us – People First, Inspire Confidence, and Embrace the Impossible. We ask that each of our employees – whether new or old- ingrain these values in our day-to-day decisions, call on them while serving our customers and our peers and apply them when creating the best possible products we can imagine.
Together—as one team—we listen, collaborate and believe that anything and everything is possible.

Company Description
Smarsh is the leader in communications compliance, archiving, and analytics. We provide compliance across the broadest set of communications channels with insights on what’s being captured. Smarsh customers manage over 500 million daily conversations across 80 channels and growing. Customers include the top 10 U.S., top 8 European, top 5 Canadian, and top 3 Asian banks. The Smarsh advantage is customers stay ahead of compliance and uncover patterns and relationships hidden within their data.
At Smarsh, we’ve been helping our customers manage new forms of communication since 2001. We work closely with regulators including the SEC, FINRA, IIROC, and the PRA and FCA, and with our customers, to ensure that they understand the capabilities of today’s technology and that our platform meets their most stringent requirements. Our products include Connected Capture, Connected Archive, Web Archive, Business Solutions, & Federal Arch

Job Description: Lead Software Engineer
We are currently looking for a strong, experienced Lead Software Engineer to join our team. You will have the opportunity to work on all aspects of the product. We already have a phenomenal product running in our data centers and as a member of this team, you will have the opportunity to bring that product to life running in a public cloud. This is the perfect position for someone that thrives on solving difficult problems, making iterative improvements toward a goal, and working on high visibility engineering projects.
Responsibilities
Build high performance, highly available, applications in the cloud
Migrate existing on-premise applications to the cloud
Work closely with our product managers to understand product needs
Write & test code that truly works— code that is elegant & scales well
Focus on fast, iterative & agile development
Ensure performance, scalability, availability & security in everything you do
Contribute to platform-level technology, strategy & decisions
Mentor junior developers
Engage in the business goals as well as the technology
Requirements

7+ years of development experience
Proficient with Java, C#, and .NET (proficient with at least 1)
Passionate about code craftsmanship, writing maintainable code, and following best practice standards
Enjoy working in a AWS cloud-native environment.
Believe in true DevOps; Developers write code, test code, deploy code, monitor and support code in production.
Value automated testing and CI/CD.
Proficient with declarative IaC frameworks: Terraform or CloudFormation
Must embrace Quality Up Front principles, TDD, and frequent iterations.
Comfortable working in a small, dynamic, and fast-paced team
Resourceful, flexible & adaptable; no task is too big or too small
Knowledge of data structures and algorithms, time complexity, and space complexity
Proven ability to learn new technology quickly and proficiently
Solid understanding of modern front-end frameworks and libraries (Vue.js, React)
Preferred Skills
Knowledge of functional programming concepts and programming languages: Python or NodeJS/TypeScript
Experience with Azure cloud services
Familiar with NoSQL database concepts
Experience with Serverless services such as Lambda, DynamoDb, and Kinesis.",3.5,"Smarsh
3.5","Portland, OR","Portland, OR",501 to 1000 employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Global Relay, NortonLifeLock"
4,Software Engineer,$52K-$94K (Glassdoor est.),"What will you contribute?

The Software Developer will be working on new and existing components supporting lending applications and report to a Senior Manager of Software Development. This position is located at one of our leading development sites in Downtown Portland, Oregon.

Responsibilities & Deliverables:

Your responsibilities as a Software Developer will include, but are not limited to, the following:
Translate business requirements into well-architected solutions that best leverage the existing code base, and development processes.
Contribute to software designs
Develop high-quality code and test scenarios
Readily comprehend user needs and grasp technical implications
Test, debug, analyze and remedy application problems. Work closely with stakeholders to efficiently fix issues
Follow our software development lifecycle
Interact with internal stakeholders to support releases


Required Experience:
Minimum of 5 years combined strong experience of development in C#, C++
Strong technical, analytical, and development skills
Familiarity with software development methodologies and the software development lifecycle
Be comfortable with modern software development lifecycle best practices including agile and SAFe development, delivering working software frequently with attention to technical excellence
Ability to research & discuss solutions to a variety of technical problems of moderate scope and complexity -- over time, independently
Effective verbal and written communication skills and a customer orientation
Collaborate within a friendly team environment.
Financial industry experience a plus, but not a requirement
*************************************************************************************************************

The above statements describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential job functions. If you need assistance or an accommodation due to disability please contact your recruitment partner.

*************************************************************************************************************",3.2,"Finastra
3.2","Portland, OR","London, United Kingdom",10000+ employees,2017,Company - Private,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1
5,Jr. C++ Software Engineer - ArcGIS Runtime SDK,$52K-$94K (Glassdoor est.),"Overview


Do you have a passion for APIs and SDKs and want to work with the latest developer technologies? Are you the kind of person who loves making a difference? Want to be part of a team that leads the way in developing innovative technology? Then Esri may be the place for you! We’re on a mission to hire talented software engineers who can help us find innovative ways to make Esri software reach new audiences. This is a superb opportunity to design and create next-generation Esri technology.

As an engineer on the ArcGIS Runtime SDK team, your work will range from designing and testing new features to communicating how to use our developer APIs and improving usability of our SDKs. You'll receive mentorship and have training opportunities to help ensure a good start to a successful long-term career. As you gain experience, you can grow your career in a number of directions including becoming a top-notch software developer solving the most technical of problems, a developer evangelist working with users to drive adoption and understand use cases, or a product owner who manages projects.

Requirements
Familiar with cross-platform software development
Enthusiasm to learn GIS and mapping technology
Excellent written and verbal communication skills
Strong time management, prioritization, teamwork, and interpersonal skills
Ability to understand new technology concepts quickly and apply them accurately through an evolving, dynamic environment
Bachelor’s or master’s in computer science, GIS, mathematics, or a related field
The Company


Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.

Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.

Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

If you need a reasonable accommodation for any part of the employment process, please email humanresources@esri.com and let us know the nature of your request and your contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.",3.5,"Esri
3.5","Portland, OR","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes
6,Frontend Software Engineer,$52K-$94K (Glassdoor est.),"Your Opportunity


The Developer Experience team at New Relic is focused entirely on supporting the developer who is extending and pushing the limits of what’s possible with New Relic’s platform and tools. We encourage planning and developing in the open and creating an experience that our customers can learn and apply to their own business and technical needs.

This team is an outstanding place to grow as an engineer. We have smart, encouraging teammates, a wide product and technical landscape to explore, and an abundance of leadership and technical challenges and opportunities where you can shine. If you’re a mid-level frontend engineer who is ready to work on a set of fun, high quality projects in open source, this might be the role for you!

Opportunity to work from a remote office may be available depending on applicant location.

What You’ll Do
Contribute to the team’s customer impact by building thoughtful, high quality code that is easy to read and maintain.
Periodically lead projects from start to finish.
Propose innovative product potential that will deliver maximum value to our customers.
Increase the impact of one or more team members through mentoring, pairing, and support.
Join our on call rotation and provide support to internal customers.
Identify and eliminate technical debt so that we can deliver faster with less complexity.
Write and share proposals to improve team processes and approaches.
Always have our customer in mind. Luckily this is pretty easy for us, since our customers are developers like us.
Your Qualifications


Must-have:
At least 4 years of professional frontend development experience
Experience reviewing PRs and applying standard methodologies to reviews
Collaborative working style and excellent communication skills
High level of emotional intelligence and self awareness
Nice-to-have:

Experience with React, Gatsby, and AWS Amplify
Experience working in open source
Experience with GraphQL
Experience with Elixir, Kotlin, and / or Node
Experience setting up healthy reliability practices
Experience writing for internal or external blogs
Please note that visa sponsorship is not available for this position.

Our Office


Our office is in the center of downtown Portland, situated in a thriving tech community in the Pacific Northwest. We enjoy easy commute access and a plethora of good eats and great coffee. We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility and fun of a start-up.

About Us


New Relic (NYSE: NEWR) is the industry’s largest and most comprehensive cloud-based instrumentation platform built to create more perfect software. The world’s best software and DevOps teams rely on New Relic to move faster, make better decisions and create best-in-class digital experiences. If you run software, you need to run New Relic. We’re proudly trusted by more than 50% of the Fortune 100.

Founded in 2008, we’re a global company focused on building a culture where all employees feel a deep sense of belonging, where every ‘Relic’ can bring their whole self to work and feel supported and empowered to thrive. We’re consistently recognized as a distinguished employer and are committed to building world-class products and an award winning culture. For more information, visit newrelic.com.

Our Hiring Process


In compliance with applicable law, all persons hired will be required to verify identity and eligibility to work and to complete employment eligibility verification. Note: Our stewardship of the data of thousands of customers’ means that a criminal background check is required to join New Relic.

We will consider qualified applicants with arrest and conviction records based on individual circumstances and in accordance with applicable law including, but not limited to, the San Francisco Fair Chance Ordinance. https://sfgov.org/olse/sites/default/files/Document/FCO%20Poster%20Set%20All%20Languages%2010%2001%2018.pdf

Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. New Relic does not accept unsolicited headhunter and agency resumes, and will not pay fees to any third-party agency or company that does not have a signed agreement with New Relic.

New Relic is an equal opportunity employer. We eagerly seek applicants of diverse background and hire without regard to race, color, gender identity, religion, national origin, ancestry, citizenship, physical abilities (or disability), age, sexual orientation, veteran status, or any other characteristic protected by law.

Interested in the details of our privacy policy? Read more here: https://newrelic.com/termsandconditions/applicant-privacy-policy

#LI-PY1",4.5,"New Relic
4.5","Portland, OR","San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"AppDynamics, Datadog, Dynatrace"
7,Software Engineer,$52K-$94K (Glassdoor est.),"Software Engineer - Kafka Platform Team
Your Opportunity


The Kafka Platform team is seeking a growth mindset software engineer to join a team that is responsible for maintaining, growing, scaling, and automating New Relic’s Kafka and Zookeeper ecosystem! If you are comfortable working with large distributed data systems and have a particular interest in effective patterns and practices for automating their care and maintenance activities, let chat!

We are also migrating to the cloud, starting with AWS/MSK and eventually supporting a multi-cloud environment. Any experience in cloud operations or distributed application development would be very helpful!

New Relic's engineering culture emphasizes team autonomy, which means that each team chooses how they do their work and has a say in which projects they work on. It also means that our teams are responsible for their own operational tooling and on-call rotation. We strive to reduce dependencies between teams so that we can work at an efficient velocity without blocking others.

Opportunity to work from a remote office will be available for these locations: Chicago, Philadelphia, Detroit, Baltimore, and Washington D.C.

What You’ll Do
Engage with architects, team leads, and team members to introduce new patterns for using our shared Kafka infrastructure in ways that increase the efficiency and reliability of our shared platform.
Maintain and improve the internal Kafka client libraries used by multiple teams at New Relic to add better monitoring and resiliency features.
Contribute to our automation framework that provision repeatable infrastructure and clusters, helping us scale to handle rapid growth and expand into the public cloud.
Build new applications and services to support our client teams.
Your Qualifications


Must-have:
Proven experience in enterprise-level Java development and preferably experience working with distributed applications with high efficiency & availability.
Familiarity with stream processing with Kafka and cloud-based development.
Experience with a cloud computing platform such as AWS, Google Cloud, or Microsoft Azure.
Comfortable working in a Unix environment.
Nice-to-have:
Experience writing software in Go, C, or Scala.
Experience writing a Kubernetes operator.
Familiarity with AWS MSK.
Familiarity with Python.
Familiarity with Kafka from the client perspective.
About Us


New Relic (NYSE: NEWR) is the industry’s largest and most comprehensive cloud-based instrumentation platform built to create more perfect software. The world’s best software and DevOps teams rely on New Relic to move faster, make better decisions and create best-in-class digital experiences. If you run software, you need to run New Relic. We’re proudly trusted by more than 50% of the Fortune 100.

Founded in 2008, we’re a global company focused on building a culture where all employees feel a deep sense of belonging, where every ‘Relic’ can bring their whole self to work and feel supported and empowered to thrive. We’re consistently recognized as a distinguished employer and are committed to building world-class products and an award winning culture. For more information, visit newrelic.com.

Our Hiring Process


In compliance with applicable law, all persons hired will be required to verify identity and eligibility to work and to complete employment eligibility verification. Note: Our stewardship of the data of thousands of customers means that a criminal background check is required to join New Relic.

We will consider qualified applicants with arrest and conviction records based on individual circumstances and in accordance with applicable law including, but not limited to, the San Francisco Fair Chance Ordinance. https://sfgov.org/olse/sites/default/files/Document/FCO%20Poster%20Set%20All%20Languages%2010%2001%2018.pdf

Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. New Relic does not accept unsolicited headhunter and agency resumes, and will not pay fees to any third-party agency or company that does not have a signed agreement with New Relic.

New Relic is an equal opportunity employer. We eagerly seek applicants of diverse background and hire without regard to race, color, gender identity, religion, national origin, ancestry, citizenship, physical abilities (or disability), age, sexual orientation, veteran status, or any other characteristic protected by law.

Interested in the details of our privacy policy? Read more here: https://newrelic.com/termsandconditions/applicant-privacy-policy

#LI-PY1",4.5,"New Relic
4.5","Portland, OR","San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"AppDynamics, Datadog, Dynatrace"
8,Software Engineer,$52K-$94K (Glassdoor est.),"Primary Function


We are seeking an experienced software validation engineer to join our large fortune 500 client. In this role, you will validate the Distributed Asynchronous Object Storage (DAOS) being developed. The I/O software stack must be optimized to prevent a storage bottleneck as we engineer for substantial throughput increases today and plan for the increased demand in coming years. We are looking for a test engineer who can learn this new I/O stack and demonstrate its abilities at scale and under load, finding critical bugs before it is put into production.

Duties & Responsibilities
Develops, modifies, and executes software test plans and automated test cases.
Understands new features from existing documentation and reading C source code.
Writes unit, integration, and stress tests to verify these features work.
Drives development of system-level validation software.
Debugs software products through the use of systematic tests to develop, apply, and maintain quality standards for company products.
Analyzes test results to ensure correct functionality.
Maintains documentation of test results to assist in debugging and modification of software.
Independently determines root causes of failures and recommends corrective action, working closely with development to drive resolution of bugs.
Seeks opportunities to drive improved validation methodologies within the team.
Skills & Qualifications
Must have programming experience in both C and Python as you will be writing unit tests to exercise C APIs as a primary function of this role.
Must understand distributed computing as you will be debugging parallel systems in this role.
Education & Experience
Bachelor's degree in Computer Science, Computer Engineering, Electrical Engineering, or related plus 6 years of industry work experience, or a Master's degree in Computer Science, Computer Engineering, Electrical Engineering, or related plus 4 years of industry work experience, or PhD in Computer Science, Computer Engineering, Electrical Engineering, or related field plus 2 years of industry work experience.
To Apply


Use the link at the bottom of this page to apply. Please use Chrome, Firefox, or Safari (users may experience issues with Internet Explorer).

Diversity Inclusion & Customer Service Statement


TeamPeople is an organization dedicated to providing superior customer service. Outstanding customer service encompasses everything from performing the technical, creative and operational aspects of our jobs to the best of our ability, to going the extra mile to assist our customers and colleagues in any way.
We respect, value and celebrate the unique attributes, characteristics and perspectives that make each person who they are. We also believe that bringing diverse individuals together allows us to collectively and more effectively address the issues that face our customers. It is our aim, therefore, that our partners, strategies and investments reflect these core values. TeamPeople is dedicated to providing superior customer service and is an Equal Opportunity Employer.",3.7,"TeamPeople
3.7","Hillsboro, OR","Falls Church, VA",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Aquent, Creative Circle, Maslow Media Group"
9,iOS/Android Runtime SDK Software Engineer,$52K-$94K (Glassdoor est.),"Overview


If you have a passion for APIs and SDKs and want to work with the latest technologies, Esri may be the place for you! We’re on a mission to hire talented software engineers who can help us find innovative ways to make Esri software reach new audiences. As an engineer on the Runtime SDK Team, your responsibilities will range from designing and testing new features to communicating how to use the APIs and improving usability of the SDKs.

Requirements
Knowledge of development on Apple iOS and/or Android platforms
Excellent written and verbal communication skills
Strong time management, prioritization, teamwork, and interpersonal skills
Ability to understand new technology concepts quickly and apply them accurately through an evolving, dynamic environment
Bachelor’s or master’s in computer science, mathematics, GIS, or a related field, depending on position level
The Company


Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.If you need a reasonable accommodation for any part of the employment process, please email humanresources@esri.com and let us know the nature of your request and your contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.",3.5,"Esri
3.5","Portland, OR","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes
